,software_engineering,business_intelligence,computer_networks,web_application_development,library_science,management_consulting,human_center_design_engineering,information_architecture,information_assurance_cyber_security,data_science_analytics,distributed_systems
0.htm,100.0,0.0,100.0,100.0,14.5161290323,12.9032258065,1.61290322581,6.45161290323,9.67741935484,17.7419354839,100.0
"1.htm,",16.049382716,4.93827160494,16.049382716,16.049382716,8.64197530864,9.87654320988,2.46913580247,9.87654320988,11.1111111111,13.5802469136,16.049382716
10.htm,100.0,0.975081256771,100.0,100.0,4.33369447454,4.22535211268,3.5752979415,3.46695557963,4.65872156013,5.85048754063,100.0
11.htm,21.7391304348,4.34782608696,20.652173913,20.652173913,9.78260869565,11.9565217391,5.4347826087,10.8695652174,9.78260869565,8.69565217391,20.652173913
12.htm,5.46318289786,2.37529691211,5.46318289786,5.46318289786,4.51306413302,6.1757719715,100.0,7.36342042755,6.1757719715,2.61282660333,5.46318289786
13.htm,12.7071823204,3.31491712707,11.6022099448,11.6022099448,8.28729281768,11.0497237569,2.20994475138,7.73480662983,7.73480662983,7.18232044199,11.6022099448
14.htm,100.0,2.10526315789,100.0,100.0,8.42105263158,10.5263157895,6.31578947368,14.7368421053,12.6315789474,14.7368421053,100.0
15.htm,100.0,0.0,100.0,100.0,7.10059171598,7.10059171598,0.0,0.0,0.0,7.10059171598,100.0
16.htm,10.3092783505,5.15463917526,9.96563573883,9.96563573883,17.6975945017,16.1512027491,9.62199312715,100.0,12.3711340206,4.12371134021,9.96563573883
17.htm,100.0,0.813008130081,100.0,100.0,3.90243902439,3.90243902439,2.76422764228,5.20325203252,3.41463414634,5.20325203252,100.0
18.htm,6.63265306122,3.82653061224,6.37755102041,6.37755102041,100.0,25.5102040816,8.16326530612,18.3673469388,13.7755102041,4.08163265306,6.37755102041
19.htm,29.3693693694,0.720720720721,29.3693693694,29.3693693694,13.1531531532,7.74774774775,5.22522522523,8.28828828829,13.5135135135,11.1711711712,29.3693693694
"2.htm,",41.6299559471,0.0,41.6299559471,41.6299559471,13.8766519824,10.7929515419,12.3348017621,6.16740088106,18.5022026432,18.5022026432,41.6299559471
20.htm,12.0567375887,1.41843971631,12.0567375887,12.0567375887,7.80141843972,9.92907801418,4.96453900709,8.51063829787,8.51063829787,100.0,12.0567375887
21.htm,100.0,1.64835164835,100.0,100.0,8.79120879121,6.59340659341,4.80769230769,4.94505494505,8.37912087912,10.989010989,100.0
22.htm,100.0,2.10526315789,100.0,100.0,6.31578947368,6.31578947368,6.31578947368,7.36842105263,10.5263157895,16.8421052632,100.0
23.htm,38.5474860335,1.95530726257,19.1340782123,19.1340782123,8.51955307263,10.8938547486,3.6312849162,6.00558659218,8.51955307263,30.3072625698,19.1340782123
24.htm,19.2513368984,1.06951871658,12.8342245989,12.8342245989,5.88235294118,4.8128342246,3.20855614973,5.34759358289,100.0,10.1604278075,12.8342245989
25.htm,8.47457627119,8.47457627119,8.47457627119,8.47457627119,6.77966101695,15.2542372881,3.38983050847,50.8474576271,100.0,10.1694915254,8.47457627119
26.htm,4.6875,7.8125,4.6875,4.6875,9.375,14.0625,1.5625,100.0,43.75,4.6875,4.6875
27.htm,9.09090909091,100.0,9.09090909091,9.09090909091,100.0,100.0,9.09090909091,100.0,15.5844155844,6.49350649351,9.09090909091
28.htm,13.0890052356,1.70157068063,13.0890052356,13.0890052356,3.66492146597,3.2722513089,5.75916230366,3.14136125654,3.40314136126,4.84293193717,13.0890052356
29.htm,7.98479087452,3.04182509506,7.60456273764,7.60456273764,100.0,100.0,3.80228136882,13.4980988593,11.7870722433,4.1825095057,7.60456273764
3.htm,2.1472392638,100.0,2.1472392638,2.1472392638,2.45398773006,3.06748466258,4.29447852761,2.45398773006,2.1472392638,2.76073619632,2.1472392638
30.htm,11.25,5.0,10.75,10.75,100.0,71.0,5.5,19.75,17.0,5.0,10.75
31.htm,33.033033033,4.5045045045,32.1321321321,32.1321321321,13.5135135135,11.1111111111,7.20720720721,7.50750750751,13.8138138138,19.5195195195,32.1321321321
32.htm,3.50877192982,100.0,3.50877192982,3.50877192982,4.6783625731,100.0,1.16959064327,7.01754385965,4.6783625731,0.0,3.50877192982
33.htm,9.21501706485,60.7508532423,9.21501706485,9.21501706485,8.87372013652,64.5051194539,1.36518771331,8.87372013652,17.4061433447,1.70648464164,9.21501706485
34.htm,14.5833333333,2.08333333333,7.29166666667,7.29166666667,4.16666666667,8.33333333333,2.08333333333,5.20833333333,100.0,8.33333333333,7.29166666667
35.htm,14.5833333333,2.08333333333,7.29166666667,7.29166666667,4.16666666667,8.33333333333,2.08333333333,5.20833333333,100.0,8.33333333333,7.29166666667
36.htm,100.0,1.27659574468,26.8085106383,26.8085106383,8.08510638298,12.3404255319,8.51063829787,4.25531914894,12.3404255319,100.0,26.8085106383
37.htm,15.0943396226,9.43396226415,7.54716981132,7.54716981132,11.320754717,100.0,7.54716981132,13.2075471698,5.66037735849,13.2075471698,7.54716981132
38.htm,33.9673913043,0.815217391304,32.8804347826,32.8804347826,10.8695652174,8.69565217391,6.79347826087,5.97826086957,10.8695652174,14.1304347826,32.8804347826
39.htm,28.5714285714,25.7142857143,28.5714285714,28.5714285714,22.8571428571,20.0,5.71428571429,20.0,22.8571428571,100.0,28.5714285714
4.htm,100.0,0.995024875622,100.0,100.0,4.97512437811,5.47263681592,1.49253731343,4.4776119403,5.47263681592,5.47263681592,100.0
40.htm,1.86335403727,4.96894409938,1.86335403727,1.86335403727,100.0,100.0,3.10559006211,9.31677018634,5.5900621118,0.621118012422,1.86335403727
41.htm,2.42677824268,1.50627615063,2.25941422594,2.25941422594,100.0,100.0,2.51046025105,100.0,100.0,1.42259414226,2.25941422594
42.htm,13.7931034483,7.75862068966,12.9310344828,12.9310344828,100.0,100.0,4.31034482759,100.0,100.0,6.89655172414,12.9310344828
43.htm,5.20833333333,4.16666666667,5.20833333333,5.20833333333,4.34027777778,4.34027777778,5.20833333333,1.38888888889,3.64583333333,3.81944444444,5.20833333333
44.htm,20.0,20.0,20.0,20.0,25.7142857143,28.5714285714,11.4285714286,31.4285714286,22.8571428571,100.0,20.0
45.htm,4.75417097298,1.99320832718,4.53270338107,4.53270338107,8.65200059058,6.0903587775,100.0,5.53668979773,5.20448840986,3.3293961317,4.53270338107
46.htm,12.0567375887,2.12765957447,10.6382978723,10.6382978723,20.5673758865,28.3687943262,100.0,29.0780141844,24.8226950355,4.96453900709,10.6382978723
47.htm,18.6666666667,18.6666666667,16.0,16.0,29.3333333333,28.0,14.6666666667,29.3333333333,21.3333333333,14.6666666667,16.0
48.htm,14.2045454545,6.81818181818,13.0681818182,13.0681818182,19.8863636364,100.0,21.5909090909,100.0,100.0,6.81818181818,13.0681818182
49.htm,6.18556701031,100.0,4.12371134021,4.12371134021,8.24742268041,8.24742268041,9.27835051546,4.12371134021,14.4329896907,7.21649484536,4.12371134021
"5.htm,",18.6046511628,0.830564784053,18.438538206,18.438538206,5.14950166113,4.48504983389,5.48172757475,3.65448504983,6.14617940199,9.13621262458,18.438538206
50.htm,15.4320987654,24.537037037,7.56172839506,7.56172839506,25.9259259259,26.2345679012,25.3086419753,2.46913580247,31.9444444444,11.5740740741,7.56172839506
51.htm,6.07210626186,5.50284629981,6.07210626186,6.07210626186,6.83111954459,6.26185958254,7.21062618596,5.69259962049,12.1442125237,2.84629981025,6.07210626186
52.htm,16.2162162162,16.2162162162,15.3153153153,15.3153153153,14.4144144144,13.5135135135,13.5135135135,9.90990990991,100.0,13.5135135135,15.3153153153
53.htm,13.5693215339,0.589970501475,12.9793510324,12.9793510324,1.76991150442,1.76991150442,2.94985250737,2.06489675516,5.60471976401,6.78466076696,12.9793510324
54.htm,24.6376811594,2.89855072464,23.9130434783,23.9130434783,7.24637681159,6.52173913043,4.34782608696,7.24637681159,10.1449275362,8.69565217391,23.9130434783
55.htm,1.9693654267,5.90809628009,1.9693654267,1.9693654267,21.0065645514,100.0,7.87746170678,12.2538293217,7.87746170678,0.0,1.9693654267
56.htm,22.1014492754,1.08695652174,22.1014492754,22.1014492754,9.05797101449,7.24637681159,6.88405797101,7.24637681159,12.3188405797,12.6811594203,22.1014492754
57.htm,0.711743772242,4.98220640569,0.711743772242,0.711743772242,100.0,5.69395017794,25.6227758007,2.13523131673,4.98220640569,0.0,0.711743772242
58.htm,2.95930949445,3.45252774353,2.95930949445,2.95930949445,9.37114673243,8.87792848335,7.15166461159,6.16522811344,4.43896424168,0.493218249075,2.95930949445
59.htm,6.97674418605,3.63372093023,6.68604651163,6.68604651163,14.5348837209,11.1918604651,100.0,7.26744186047,7.8488372093,4.36046511628,6.68604651163
6.htm,45.2631578947,20.0,45.2631578947,45.2631578947,29.4736842105,30.5263157895,6.31578947368,31.5789473684,29.4736842105,100.0,45.2631578947
7.htm,22.5409836066,2.04918032787,22.5409836066,22.5409836066,0.0,4.09836065574,3.68852459016,6.14754098361,10.6557377049,14.3442622951,22.5409836066
"8.htm,",55.5555555556,4.44444444444,55.5555555556,55.5555555556,15.5555555556,6.66666666667,11.1111111111,8.88888888889,13.3333333333,24.4444444444,55.5555555556
"9.htm,",4.87804878049,100.0,4.87804878049,4.87804878049,7.31707317073,7.31707317073,9.75609756098,7.31707317073,7.31707317073,12.1951219512,4.87804878049
